시도,주차장명,주차장유형 (노상/노외/부설),주소,위도,경도,관리기관,전화번호 (주차장관리자),"'18.9.22(토), 개방시작시간","'18.9.22(토), 개방종료시간","18.9.23(일), 개방시작시간","18.9.23(일), 개방종료시간","18.9.24(월), 개방시작시간","18.9.24(월), 개방종료시간","18.9.25(화), 개방시작시간","18.9.25(화),개방종료시간","18.9.26(수), 개방시작시간","18.9.26(수), 개방종료시간",특이사항,,,,,,,,,,,,,,,,,
충청북도,충주천 제3공영주차장,노외,충청북도 충주시 지현동 6,36.9710347,127.9292009,충주시청,043-850-6323,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 무료개방,,,,,,,,,,,,,,,,,
충청북도,충의공영주차장,노외,충청북도 충주시 충의동 35,36.9755408,127.9295404,충주시청,043-850-6323,,,,,0:00,24:00,0:00,24:00,0:00,24:00,3일 무료개방,,,,,,,,,,,,,,,,,
충청북도,교현천공영주차장,노외,충청북도 충주시 충의동 47,36.9755753,127.9302379,충주시청,043-850-6323,,,,,0:00,24:00,0:00,24:00,0:00,24:00,3일 무료개방,,,,,,,,,,,,,,,,,
충청북도,남산등산로주차장,노외,충청북도 충주시 교현동 21-2,36.9627955,127.9506398,충주시청,043-850-6323,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 무료개방,,,,,,,,,,,,,,,,,
충청북도,문화동제1도심주차장,노외,충청북도 충주시 문화동 1436,36.9708537,127.9234821,충주시청,043-850-6323,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 무료개방,,,,,,,,,,,,,,,,,
충청북도,용산동제1도심주차장,노외,충청북도 충주시 용산동 1233,36.9634519,127.9381818,충주시청,043-850-6323,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 무료개방,,,,,,,,,,,,,,,,,
충청북도,연수동 제1도심주차장,노외,충청북도 충주시 연수동 1631,36.9832989,127.9447933,충주시청,043-850-6323,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 무료개방,,,,,,,,,,,,,,,,,
충청북도,지현동 제2도심주차장,노외,충청북도 충주시 지현동 1090,36.9628898,127.9303281,충주시청,043-850-6323,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 무료개방,,,,,,,,,,,,,,,,,
충청북도,지현동 제3도심주차장,노외,충청북도 충주시 지현동 322,36.9696186,127.9300546,충주시청,043-850-6323,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 무료개방,,,,,,,,,,,,,,,,,
충청북도,연수동 제2도심주차장,노외,충청북도 충주시 연수동 1538,36.9841847,127.9410611,충주시청,043-850-6323,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 무료개방,,,,,,,,,,,,,,,,,
충청북도,교현2동 제1도심주차장,노외,충청북도 충주시 교현동 626-6,36.9799592,127.9266058,충주시청,043-850-6323,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 무료개방,,,,,,,,,,,,,,,,,
충청북도,지현동 제3도심주차장,노외,충청북도 충주시 지현동 1115,36.9629656,127.9305065,충주시청,043-850-6323,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 무료개방,,,,,,,,,,,,,,,,,
충청북도,용산동 제2도심주차장,노외,충청북도 충주시 용산동 1243,36.9636331,127.9380503,충주시청,043-850-6323,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 무료개방,,,,,,,,,,,,,,,,,
충청북도,교현안림동 제1도심주차장,노외,충청북도 충주시 교현동 195,36.9736664,127.9395921,충주시청,043-850-6323,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 무료개방,,,,,,,,,,,,,,,,,
충청북도,연수동 제3도심주차장,노외,충청북도 충주시 연수동 1466,36.9831235,127.9382311,충주시청,043-850-6323,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 무료개방,,,,,,,,,,,,,,,,,
충청북도,문화동 제2도심주차장,노외,충청북도 충주시 문화동 1569,36.9718728,127.9262474,충주시청,043-850-6323,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 무료개방,,,,,,,,,,,,,,,,,
충청북도,수안보공영주차장,노외,충청북도 충주시 수안보면 온천리 218-2,36.8467711,127.9901988,충주시청,043-850-6323,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 무료개방,,,,,,,,,,,,,,,,,
충청북도,교현안림동 제2도심주차장,노외,충청북도 충주시 교현동 415-10,36.9761944,127.9364025,충주시청,043-850-6323,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 무료개방,,,,,,,,,,,,,,,,,
충청북도,목행시장,노외,충청북도 충주시 목행동 608-24,37.0048521,127.5505931,충주시 목행시장상인회,-,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 무료개방,,,,,,,,,,,,,,,,,
충청북도,충주천 제1공영주차장,노외,충청북도 충주시 성서동 50,36.9723768,127.9279757,충주시 시설관리공단,043-870-7896,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,4일 무료개방,,,,,,,,,,,,,,,,,
충청북도,충주천 제2공영주차장,노외,충청북도 충주시 성서동 453,36.9703876,127.9290434,충주시 시설관리공단,043-870-7897,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,4일 무료개방,,,,,,,,,,,,,,,,,
충청북도,칠금 공영주차장,노외,충청북도 충주시 칠금동 1017,36.9807149,127.9136263,충주시 시설관리공단,043-870-7898,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,4일 무료개방,,,,,,,,,,,,,,,,,
충청북도,금릉 공영주차장,노외,충청북도 충주시 금릉동 730,36.9887763,127.9252972,충주시 시설관리공단,043-870-7899,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,4일 무료개방,,,,,,,,,,,,,,,,,
충청북도,노상1지구,노상,충청북도 제천시 중앙로1가221-1,38.224977,128.283630,제천시 교통과,043-641-6354,,,,,0:00,24:00,0:00,24:00,0:00,24:00,유료,,,,,,,,,,,,,,,,,
충청북도,노상2지구,노상,충청북도 제천시 중앙로2가160,37.142140,128.212700,제천시 교통과,043-641-6354,,,,,0:00,24:00,0:00,24:00,0:00,24:00,유료,,,,,,,,,,,,,,,,,
충청북도,노상4지구,노상,충청북도 제천시 중앙로2가164,37.140120,128.212800,제천시 교통과,043-641-6354,,,,,0:00,24:00,0:00,24:00,0:00,24:00,유료,,,,,,,,,,,,,,,,,
충청북도,노상5지구,노상,충청북도 제천시 명동339,37.137820,128.207900,제천시 교통과,043-641-6354,,,,,0:00,24:00,0:00,24:00,0:00,24:00,유료,,,,,,,,,,,,,,,,,
충청북도,노상7지구,노상,충청북도 제천시 중앙로2가160,37.142110,128.212700,제천시 교통과,043-641-6354,,,,,0:00,24:00,0:00,24:00,0:00,24:00,유료,,,,,,,,,,,,,,,,,
충청북도,동문시장지구,노상,충청북도 제천시 중앙로2가160,37.142110,128.212700,제천시 교통과,043-641-6354,,,,,0:00,24:00,0:00,24:00,0:00,24:00,유료,,,,,,,,,,,,,,,,,
충청북도,중앙교차로,노상,충청북도 제천시 중앙로2가 158,37.140160,128.211600,제천시 교통과,043-641-6354,,,,,0:00,24:00,0:00,24:00,0:00,24:00,유료,,,,,,,,,,,,,,,,,
충청북도,용두천5지구,노상,충청북도 제천시 명동 248-2,37.133220,128.206300,제천시 교통과,043-641-6354,,,,,0:00,24:00,0:00,24:00,0:00,24:00,유료,,,,,,,,,,,,,,,,,
충청북도,명동교차로,노상,충청북도 제천시 중앙로1가 224,37.136530,128.209800,제천시 교통과,043-641-6354,,,,,0:00,24:00,0:00,24:00,0:00,24:00,유료,,,,,,,,,,,,,,,,,
충청북도,역전교차로,노상,충청북도 제천시 영천동 506,37.130700,128.206400,제천시 교통과,043-641-6354,,,,,0:00,24:00,0:00,24:00,0:00,24:00,유료,,,,,,,,,,,,,,,,,
충청북도,용두천1지구,노상,충청북도 제천시 중앙로2가 160,37.142110,128.212700,제천시 교통과,043-641-6354,,,,,0:00,24:00,0:00,24:00,0:00,24:00,유료,,,,,,,,,,,,,,,,,
충청북도,용두천2지구,노상,충청북도 제천시 중앙로1가 210,37.138180,128.213500,제천시 교통과,043-641-6354,,,,,0:00,24:00,0:00,24:00,0:00,24:00,유료,,,,,,,,,,,,,,,,,
충청북도,내토시장지구,노상,충청북도 제천시 중앙로1가 210,37.138180,128.213500,제천시 교통과,043-641-6354,,,,,0:00,24:00,0:00,24:00,0:00,24:00,유료,,,,,,,,,,,,,,,,,
충청북도,용두천3지구,노상,충청북도 제천시 남천동 1187,37.135530,128.210700,제천시 교통과,043-641-6354,,,,,0:00,24:00,0:00,24:00,0:00,24:00,유료,,,,,,,,,,,,,,,,,
충청북도,용두천4지구,노상,충청북도 제천시 명동 226-1,37.133940,128.207800,제천시 교통과,043-641-6354,,,,,0:00,24:00,0:00,24:00,0:00,24:00,유료,,,,,,,,,,,,,,,,,
충청북도,중앙시장지구,노상,충청북도 제천시 남천동 401,37.136350,128.212200,제천시 교통과,043-641-6354,,,,,0:00,24:00,0:00,24:00,0:00,24:00,유료,,,,,,,,,,,,,,,,,
충청북도,용두천7지구,노상,충청북도 제천시 남천동 401,37.136350,128.212200,제천시 교통과,043-641-6354,,,,,0:00,24:00,0:00,24:00,0:00,24:00,유료,,,,,,,,,,,,,,,,,
충청북도,역전시장지구,노외,충청북도 제천시 화산동 201-1,37.132340,128.207800,제천시 교통과,043-641-6354,,,,,0:00,24:00,0:00,24:00,0:00,24:00,유료,,,,,,,,,,,,,,,,,
충청북도,역전2주차장,노외,충청북도 제천시 영천동 537,37.129060,128.205200,제천시 교통과,043-641-6354,,,,,0:00,24:00,0:00,24:00,0:00,24:00,유료,,,,,,,,,,,,,,,,,
충청북도,시민주차타워,노외,충청북도 제천시 중앙로2가29-11,37.138850,128.210200,제천시 교통과,043-641-6354,,,,,0:00,24:00,0:00,24:00,0:00,24:00,유료,,,,,,,,,,,,,,,,,
충청북도,노상6지구,노상,충청북도 제천시 중앙로2가 159,37.140170,128.210000,제천시 교통과,043-641-6354,,,,,0:00,24:00,0:00,24:00,0:00,24:00,유료,,,,,,,,,,,,,,,,,
충청북도,중앙시장2지구,노상,충청북도 제천시 중앙로1가45-1,37.137120,128.211800,제천시 교통과,043-641-6354,,,,,0:00,24:00,0:00,24:00,0:00,24:00,유료,,,,,,,,,,,,,,,,,
충청북도,청전주차타워,노외,충청북도 제천시 청전동655,37.149120,128.211400,제천시 교통과,043-641-6354,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,무료주차장,,,,,,,,,,,,,,,,,
충청북도,구)동명초임시주차장,노외,충청북도 제천시 명동 68,37.13533366,128.2078401,제천시 지역개발과,043-641-6266,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,무료주차장,,,,,,,,,,,,,,,,,
충청북도,보은전통시장,부설,충청북도 보은군 보은읍 삼산리 137-1,36.483732,127.7203629,충청북도 보은군,043-540-3232,-,-,-,-,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,무료(2018. 9. 24 ~ 9. 26.),,,,,,,,,,,,,,,,,
충청북도,보은종합시장주차장,부설,충청북도 보은군보은군 보은읍 삼산리 31-1 외 2필지,36.4830494,127.7190551,충청북도 보은군,043-540-3232,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,무료(2018. 9. 22. ~ 9. 26.),,,,,,,,,,,,,,,,,
충청북도,보은도서관,노상,충청북도 보은군 보은읍 삼산리 125-4,36.484141,127.716064,충청북도 보은군,043-540-3097,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,무료,,,,,,,,,,,,,,,,,
충청북도,대신리치빌아파트,노상,충청북도 보은군 보은읍 삼산리 151-25,36.485992,127.717932,충청북도 보은군,043-540-3097,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,무료,,,,,,,,,,,,,,,,,
충청북도,한솔식당,노상,충청북도 보은군 보은읍 교사리 87-16,36.488634,127.717509,충청북도 보은군,043-540-3097,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,무료,,,,,,,,,,,,,,,,,
충청북도,삼성연립,노상,충청북도 보은군 보은읍 장신리 38-11,36.482553,127.713506,충청북도 보은군,043-540-3097,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,무료,,,,,,,,,,,,,,,,,
충청북도,통계슈퍼,노상,충청북도 보은군 보은읍 삼산리 175-43,36.484763,127.714162,충청북도 보은군,043-540-3097,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,무료,,,,,,,,,,,,,,,,,
충청북도,진화아파트,노상,충청북도 보은군 보은읍 삼산리 171-4,36.487759,127.715501,충청북도 보은군,043-540-3097,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,무료,,,,,,,,,,,,,,,,,
충청북도,동다리하상,노외,충청북도 보은군 보은읍 교사리 440-1,36.485527,127.721755,충청북도 보은군,043-540-3097,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,무료,,,,,,,,,,,,,,,,,
충청북도,남다리하상,노외,충청북도 보은군 보은읍 죽전리 132-4,36.481123,127.719558,충청북도 보은군,043-540-3097,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,무료,,,,,,,,,,,,,,,,,
충청북도,송화식당,노외,충청북도 보은군 보은읍 삼산리 195-1,36.485272,127.711887,충청북도 보은군,043-540-3097,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,무료,,,,,,,,,,,,,,,,,
충청북도,정이품송,노외,충청북도 보은군 속리산면 상판리 241,36.518509,127.815753,충청북도 보은군,043-540-3097,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,무료,,,,,,,,,,,,,,,,,
충청북도,삼승 재래시장,노외,충청북도 보은군  삼승면 원남리 190-2,36.395945,127.732463,충청북도 보은군,043-540-3097,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,무료,,,,,,,,,,,,,,,,,
충청북도,삼승농협,노외,충청북도 보은군 삼승면 원남리 199,36.396224,127.731868,충청북도 보은군,043-540-3097,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,0:00:00,24:00:00,무료,,,,,,,,,,,,,,,,,
충청북도,옥천체육센터 주차장,노외,충청북도 옥천군 옥천읍 문정리 384-10,36.302311,127.575576,충청북도 옥천군청,043-730-4863,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,13:00,24:00,무료,,,,,,,,,,,,,,,,,
충청북도,옥천생활체육관 주차장,노외,충청북도 옥천군 옥천읍 문정리 408-15,36.303941,127.574988,충청북도 옥천군청,043-730-4863,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,14:00,24:00,무료,,,,,,,,,,,,,,,,,
충청북도,옥천국민체육센터 주차장,노외,충청북도 옥천군 옥천읍 문정리 420-2,36.306318,127.578147,충청북도 옥천군청,043-730-4863,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,15:00,24:00,무료,,,,,,,,,,,,,,,,,
충청북도,김밥천국~충북도립대,노상,충청북도 옥천군 옥천읍 금구리 18-10,36.300989,127.569292,충청북도 옥천군청,043-730-3534,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,16:00,24:00,무료,,,,,,,,,,,,,,,,,
충청북도,중앙의원~경찰서,노상,충청북도 옥천군 옥천읍 금구리 263-3,36.299769,127.566947,충청북도 옥천군청,043-730-3534,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,17:00,24:00,무료,,,,,,,,,,,,,,,,,
충청북도,옥천농협~가화교,노상,충청북도 옥천군 옥천읍 금구리 169-2,36.301728,127.566692,충청북도 옥천군청,043-730-3534,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,18:00,24:00,무료,,,,,,,,,,,,,,,,,
충청북도,시장철물~옥천농협,노상,충청북도 옥천군 옥천읍 금구리 5-3,36.302316,127.568509,충청북도 옥천군청,043-730-3534,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,19:00,24:00,무료,,,,,,,,,,,,,,,,,
충청북도,금구천 하상주차장,노외,충청북도 옥천군 옥천읍 금구리 263-3,36.299758,127.566947,충청북도 옥천군청,043-730-3534,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,무료,,,,,,,,,,,,,,,,,
충청북도,(구)채소시장 주차장,노외,충청북도 옥천군 옥천읍 금구리 5-66,36.302025,127.568871,충청북도 옥천군청,043-730-3534,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,무료,,,,,,,,,,,,,,,,,
충청북도,(구)신협 앞 주차장,노외,충청북도 옥천군 옥천읍 금구리 23-1,36.301578,127.570121,충청북도 옥천군청,043-730-3534,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,무료,,,,,,,,,,,,,,,,,
충청북도,옥천공영주차타워,노외,충청북도 옥천군 옥천읍 금구리 184-2,36.301611,127.565825,충청북도 옥천군청,043-730-3534,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,무료,,,,,,,,,,,,,,,,,
충청북도,보건소 앞 주차장,노외,충청북도 옥천군 옥천읍 삼양리 161-108,36.304106,127.569344,충청북도 옥천군청,043-730-3534,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,무료,,,,,,,,,,,,,,,,,
충청북도,새터 주차장,노외,충청북도 옥천군 옥천읍 금구리 154,36.299972,127.568646,충청북도 옥천군청,043-730-3534,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,무료,,,,,,,,,,,,,,,,,
충청북도,구 대가 주차장,노외,충청북도 옥천군 옥천읍 금구리 23-4,36.301027,127.570457,충청북도 옥천군청,043-730-3534,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,무료,,,,,,,,,,,,,,,,,
충청북도,공설시장 주차타워,노외,충청북도 옥천군 옥천읍 삼양로 7길 9-7,36.303347,127.568328,충청북도 옥천군청,043-730-3362,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,무료,,,,,,,,,,,,,,,,,
충청북도,선관위 일원 공영주차장,노외,충청북도 옥천군 옥천읍 금구리 113-3,36.296808,127.566941,충청북도 옥천군청,043-730-3534,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,무료,,,,,,,,,,,,,,,,,
충청북도,구 옥천신협 옆 공영주차장,노외,충청북도 옥천군 옥천읍 금구리 23-73,36.301251,127.57072,충청북도 옥천군청,043-730-3534,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,무료,,,,,,,,,,,,,,,,,
충청북도,옥천여중 공영주차장,노외,충청북도 옥천군 옥천읍 문정리 464-8,36.303716,127.571094,충청북도 옥천군청,043-730-3534,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,무료,,,,,,,,,,,,,,,,,
충청북도,청산 공영주차장,노외,충청북도 옥천군 청산면 교평리 257-3,36.344258,127.795648,충청북도 옥천군청,043-730-3534,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,무료,,,,,,,,,,,,,,,,,
충청북도,제방밑주차장,노상,충청북도 영동군 영동읍 영동천2길 47,36.1726593,127.779275,충청북도 영동군청,043-740-3511,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,,,,,,,,,,,,,,,,,
충청북도,서외과옆주차장,노상,충청북도 영동군 영동읍 학산영동로 1241,36.173483,127.772942,충청북도 영동군청,043-740-3511,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,,,,,,,,,,,,,,,,,
충청북도,철도변주차장,노상,충청북도 영동군 영동읍 계산로 87,36.1771345,127.7804239,충청북도 영동군청,043-740-3511,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,,,,,,,,,,,,,,,,,
충청북도,매천교옆주차장,노상,충청북도 영동군 영동읍 계산로 122,36.1697206,127.7889595,충청북도 영동군청,043-740-3511,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,,,,,,,,,,,,,,,,,
충청북도,인삼조합앞주차장,노상,충청북도 영동군 영동읍 구교로 28,36.1764087,127.7802806,충청북도 영동군청,043-740-3511,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,,,,,,,,,,,,,,,,,
충청북도,한전옆주차장,노상,충청북도 영동군 영동읍 계산로2길 10,36.1739144,127.7785556,충청북도 영동군청,043-740-3511,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,,,,,,,,,,,,,,,,,
충청북도,중앙지구대옆주차장,노상,충청북도 영동군 영동읍 중앙로6길 52,36.1729849,127.7828313,충청북도 영동군청,043-740-3511,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,,,,,,,,,,,,,,,,,
충청북도,용산면주차장,노상,충청북도 영동군 용산면 구촌리 179-1,36.2593347,127.8284628,충청북도 영동군청,043-740-3511,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,,,,,,,,,,,,,,,,,
충청북도,영동천주차장,노외,충청북도 영동군 영동읍 계산로2길 40,36.1771345,127.7804239,충청북도 영동군청,043-740-3511,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,,,,,,,,,,,,,,,,,
충청북도,황간천주차장,노외,충청북도 영동군 황간면 남성8길 22,36.230963,127.9037081,충청북도 영동군청,043-740-3511,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,,,,,,,,,,,,,,,,,
충청북도,추풍령주차장,노외,충청북도 영동군 추풍령면 추풍령로 444,36.2132411,127.9959127,충청북도 영동군청,043-740-3511,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,,,,,,,,,,,,,,,,,
충청북도,학산주차장,노외,충청북도 영동군 학산면 서산로 56,36.0980712,127.6838632,충청북도 영동군청,043-740-3511,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,,,,,,,,,,,,,,,,,
충청북도,조심동하상주차장,노외,충청북도 영동군 영동읍 새심길 26,36.1688166,127.7889842,충청북도 영동군청,043-740-3511,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,,,,,,,,,,,,,,,,,
충청북도,용두교하상주차장,노외,충청북도 영동군 영동읍 계산리 125-3,36.170752,127.785099,충청북도 영동군청,043-740-3511,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,,,,,,,,,,,,,,,,,
충청북도,영동역환승주차장,노외,충청북도 영동군 영동읍 계산로 87,36.172059,127.7860898,충청북도 영동군청,043-740-3511,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,,,,,,,,,,,,,,,,,
충청북도,심천주차장,노외,충청북도 영동군 심천면 심천로5길 5,36.2374092,127.7203237,충청북도 영동군청,043-740-3511,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,,,,,,,,,,,,,,,,,
충청북도,천태산주차장,노외,충청북도 영동군 양산면 영국동길 225,36.1645147,127.623615,충청북도 영동군청,043-740-3511,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,,,,,,,,,,,,,,,,,
충청북도,영동고뒤하상주차장,노외,충청북도 영동군 영동읍 새심길 18,36.1688538,127.7870989,충청북도 영동군청,043-740-3511,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,,,,,,,,,,,,,,,,,
