교육청,주차장명(학교명),주차장유형 (노상/노외/부설),주소,위도,경도,관리기관,전화번호 (주차장관리자),"'18.2.14(수), 개방시작시간","'18.2.14(수), 개방종료시간","'18.2.15(목), 개방시작시간","'18.2.15(목), 개방종료시간","'18.2.16(금), 개방시작시간","'18.2.16(금), 개방종료시간","'18.2.17(토), 개방시작시간","'18.2.17(토), 개방종료시간","'18.2.18(일), 개방시작시간","'18.2.18(일), 개방종료시간",특이사항,
강원도,인흥초등학교,노외,강원도 고성군 토성면 인흥1길 26,,,,033-636-5182,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,죽왕초등학교,부설,강원도 고성군 죽왕면 송지호로6,,,,033-632-0284,,,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,,
강원도,천진초등학교,노상,강원도 고성군 토성면 천진1길 14,,,,033-639-0400,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,남호초등학교,노상,강원도 동해시 평원로120,,,,033-530-7800,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,삼화초등학교,노상,강원도 동해시 파수길 38,,,,033-530-6973,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,송정초등학교,노상,강원도 동해시 동해역길 25,,,,,,,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,,
강원도,창호초등학교,노상,강원도 동해시 해맞이길 183,,,,033-535-7714,,,6:00,19:00,6:00,19:00,6:00,19:00,6:00,19:00,,
강원도,근덕초등학교,노상,강원도 삼척시 근덕면 삼척로3653,,,,033-572-3007,,,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,,
강원도,도계초등학교,부설,강원도 삼척시 도계읍 도계로265,,,,,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,맹방초등학교,노상,강원도 삼척시 근덕면 삼척로 3884-4,,,,033-572-3205,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 개방,
강원도,미로초등학교,노상,강원도 삼척시 미로면 미로강변로1길 10-11,,,,033-572-0580,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,삼척남초등학교,노상,강원도 삼척시 동해대로 3783-22,,,,033-572-8765,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,삼척초등학교,노상,강원도 삼척시,,,,,,,9:00,24:00,9:00,24:00,9:00,24:00,9:00,24:00,,
강원도,서부초등학교,노상,강원도 삼척시 오십천로 279,,,,033-574-4009,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,신동초등학교,부설,강원도 삼척시 신기면 강원남부로 2997,,,,033-541-1506,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,임원초등학교,노상,강원도 삼척시,,,,,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,장원초등학교,노상,강원도 삼척시 도계읍 장원길 25,,,,033-541-4418,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,장호초등학교,노상,삼척시 근덕면 용화안길 24,,,,,,,8:45,16:45,8:45,16:45,8:45,16:45,8:45,16:45,,
강원도,정라초등학교,노상,강원도 삼척시 정상로 3길5,,,,033-571-5413,,,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,,
강원도,흥전초등학교,노상,강원도 삼척시 도계읍 흥전안길137,,,,,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,상시개방,
강원도,강현초등학교,노외,강원도 양양군,,,,033-670-9007,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,광정초등학교,노상,강원도 양양군 하조대1길 38,,,,033-672-8679,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,교동초등학교,노상,강원도 속초시 만천1길 67,,,,033-637-7227,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,대포초등학교,노상,강원도 속초시 동해대로 3797,,,,033-635-3840,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,상평초등학교,노상,강원도 양양군 서면 물윗구미길 25,,,,033-672-2982,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,상평초공수전분교,노상,강원도 양양군 서면 구룡령로 2855,,,,033-673-3368,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,상평초현서분교,노상,강원도 양양군 서면 구룡령로 2155,,,,033-673-8764,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,소야초등학교,노상,강원도 속초시 배움터길 42(노학동),,,,,,,6:00,24:00,1:00,24:00,1:00,24:00,1:00,24:00,24시간개방,
강원도,송포초등학교,노상,강원도 양양군 손양면 동명로 321-11,,,,033-671-8792,,,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,,
강원도,양양초등학교,노상,강원도 양양군 양양읍 군청길 39,,,,033-671-2834,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,영랑초등학교,노상,강원도 중앙로 331,,,,033-639-7888,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,상시개방,
강원도,온정초등학교,노상,강원도 속초시 온천로 107,,,,,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,조산초등학교,노상,강원도 양양군 양양읍 동해대로 3020,,,,033-671-2433,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,조양초등학교,노상,강원도 속초시 동해대로 3965,,,,,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,청대초등학교,노상,강원도 속초시 소평로 175,,,,033-639-9007,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,청봉초등학교,부설,강원도 속초시 조양로 118번길 9,,,,,,,6:00,24:00,6:00,24:00,6:00,24:00,6:00,24:00,,
강원도,청호초등학교,노상,강원도 속초시 청호로 60,,,,033-636-8746,,,8:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,,
강원도,회룡초등학교,노상,강원도 양양군 강현면 소금재길161,,,,033-671-8475,,,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,,
강원도,도촌초등학교,노상,강원도 양구군 남면 정중앙로 259,,,,033-482-0803,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,양구초등학교,노상,강원도 양구군 양구읍 새싹로 48,,,,033-481-2413,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 개방,
강원도,용하초등학교,부설,강원도 양구군 남면 정중앙로 624-7,,,,033-482-0352,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,임당초등학교,부설,강원도 양구군 동면 금강산로 1673,,,,033-481-0006,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,한전초등학교,노상,강원도 양구군 양구읍 금강산로858,,,,033-481-7044,,,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,,
강원도,쌍룡초등학교,노외,강원도 영월군 한반도면 무동길 50,,,,033-372-5030,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,토교분교,노외,강원도 영월군 남면 토교로 301,,,,033-374-8183,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,영월초등학교,노상,강원도 영월군 영월읍 하송안길100,,,,033-370-3005,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,상시개방,
강원도,고산초등학교,노상,강원도 원주시 호저면 호저로 873,,,,,,,9:00,24:00,9:00,24:00,9:00,24:00,9:00,24:00,설연휴내내 개방,
강원도,관설초등학교,노상,강원도 원주시 치악로 1355,,,,033-761-5644,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,귀래초등학교,부설,강원도 원주시 귀래면 북원로 89,,,,033-762-7220,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,단계초등학교,노상,강원도 원주시 북원로 2387,,,,033-766-0232,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,단관초등학교,노상,강원도 원주시 단관초교길 14,,,,,,,9:00,20:00,9:00,20:00,9:00,20:00,9:00,20:00,,
강원도,둔둔초등학교,노상,강원도 원주시 소초면 버덩마을길7,,,,033-747-7592,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,만종초등학교,노상,강원도 원주시 호저면 원문로 599,,,,033-747-2774,,,1:00,24:00,1:00,24:00,1:00,24:00,1:00,24:00,,
강원도,명륜초등학교,노외,강원도 원주시 행구로 25,,,,033-761-8193,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,버들초등학교,노상,강원도 원주시 건강로 80,,,,,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,봉대초등학교,노상,강원도 원주시 혁신로 300,,,,033-738-1807,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,부론초등학교,노상,강원도 원주시 부론면 법천시장길 58,,,,033-732-3021,,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,
강원도,북원초등학교,노상,강원도 원주시 단구로 60,,,,,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간개방,
강원도,산현초등학교,노외,강원도 원주시 호저면 칠봉로 347,,,,033-731-8875,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,서곡초등학교,노상,강원도 원주시 용수골길 159,,,,033-763-4800,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,서원주초등학교,노상,강원도 원주시 남원로469번길 61,,,,033-766-8852,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,소초초등학교,부설,강원도 원주시 소초면 평장리 792,,,,033-733-9432,,,6:00,22:00,6:00,22:00,6:00,22:00,6:00,22:00,,
강원도,솔샘초등학교,노상,강원도 원주시 무실로381,,,,033-738-2300,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,신림초등학교,노상,강원도 원주시 신림면 치악로34,,,,,,,9:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,우산초등학교,노상,강원도 원주시 우산초교길 84,,,,033-735-3921,,,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,,
강원도,일산초등학교,노상,강원도 원주시 일산초교길1,,,,033-731-0685 / 033-731-0683,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,장양초등학교,노상,강원도 원주시 북원로 2868,,,,033-734-4166,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,치악초등학교,노상,강원도 원주시 한지공원길 77,,,,033-762-8267,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,태장초등학교,노상,강원도 원주시 현충로 260,,,,033-731-8452,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,화장실 공사로 인해 조정될 수 있음.,
강원도,평원초등학교,노상,강원도 원주시 금불2길 20,,,,033-732-7267,,,8:00,20:00,8:00,20:00,8:00,20:00,8:00,20:00,,
강원도,학성초등학교,노상,강원도 원주시 천사로 255,,,,033-732-3047,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 개방,
강원도,호저초등학교,부설,강원도 원주시 호저로 428,,,,033-732-9138,,,8:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,,
강원도,부평초등학교,노상,강원도 인제군 남면 신남로 94번길 7,,,,033-461-6044,,,9:00,18:00,9:00,18:00,9:00,18:00,8:00,18:00,,
강원도,서성초등학교,노외,강원도 인제군 서화면 금강로 1801-42,,,,033-463-3209,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,어론초등학교,부설,강원도 인제군 남면 설악로 198,,,,,,,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,,
강원도,고한초등학교,노상,강원도 정선군 고한4길 11,,,,,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,벽탄초등학교,노상,강원도 정선군 정선읍 벽탄길32,,,,033-562-8216,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,봉양초등학교,노상,강원도 정선군 정선읍 녹송7길 1,,,,,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,상시개방,
강원도,북평초등학교,노상,강원도 정선군 북평면 서동로 2170,,,,033-562-5898,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,임계초등학교,노상,강원도 정선군 임계면 송계1길 7,,,,033-562-6165,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,정선초등학교,노상,강원도 정선군 정선읍 비봉로 15,,,,033-563-0010,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,함백초등학교,부설,강원도 정선군 신동읍 조동6길 17-12,,,,033-378-1023,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,화동초등학교,노상 주차장,강원도 정선군 화암면 그림바위길 66-20,,,,,,,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,
강원도,서면초등학교,노외,강원도 철원군 서면 자등로 634,,,,033-458-8814,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,없음,
강원도,신철원초등학교,노외,강원도 철원군 갈말읍 명성로 139번안길 45,,,,033-452-6086,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,용정초등학교,부설,강원도 철원군 동송읍 상노2길 11,,,,033-455-6371,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,철원초등학교,노상,강원도 철원군 철원읍 금학로297-18,,,,,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 상시 개방,
강원도,가산초등학교,노외,강원도 춘천시 동면 가산로 52,,,,033-241-1002,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,근화초등학교,노상,강원도 춘천시 소양로163번길,,,,033-251-9305,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,금병초등학교,노상,강원도 춘천시 신동면 김유정로1394,,,,033-261-8847,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,금산초등학교,노상,강원도 춘천시 금산2길21,,,,,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,서상초등학교,노상,강원도 춘천시 서면 박사로 1348,,,,033-243-6320,,,0:00,12:00,0:00,12:00,0:00,12:00,0:00,12:00,12:00AM ~ 12:00PM,
강원도,성원초등학교,노상,강원도 춘천시 승지골길 16번길 36,,,,033-264-6063,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,소양초등학교,노상,강원도 춘천시 충열로 134,,,,033-251-1492,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,송화초등학교,노상,강원도 춘천시 사북면 춘화로 510-5,,,,033-244-5942,,,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,,
강원도,신동초등학교,노상,강원도 춘천시 영서로 3116,,,,,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,오동초등학교,노상,강원도 춘천시 신북읍 장본길74,,,,033-242-1725,,,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,,
강원도,조양초등학교,노상,강원도 춘천시 동산면 조양길 257,,,,033-261-2076,,,,,,,,,,,0:00 통일,
강원도,춘천초등학교,부설,강원도 춘천시 방송길7번길 14-5,,,,033-256-4781,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,호반초등학교,노상,강원도 춘천시 후만로 126번길 35,,,,033-256-8214,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,후평초등학교,노상,강원도 춘천시 춘천로259번길 17,,,,,,,7:00,19:00,7:00,19:00,7:00,19:00,7:00,19:00,,
강원도,동점초등학교,노외,강원도 태백시 동점동 방터골1길 59,,,,033-582-1436,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,삼성초등학교,노상,강원도 태백시 평화길 44,,,,033-581-6856,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,상장초등학교,노상,강원도 태백시 태백로 1223,,,,033-550-8809,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,장성초등학교,노상,강원도 태백시 장성도 보드미길26,,,,033-580-0522,,,1:00,24:00,1:00,24:00,1:00,24:00,1:00,24:00,,
강원도,태백초등학교,노상,강원도 태백시 태백로 1811,,,,033-581-3756,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,통리초등학교,노상,강원도 태백시 통골2길 9,,,,,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,거문초등학교,노상,강원도 평창군 진부면 거문길 24,,,,033 335-7716,,,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,,
강원도,교직원주차장(계촌초등학교),노외,강원도 평창군 방림면 계촌길 63,,,,033-333-6989,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,"24시간 개방, 별도 주차장관리자 없음",
강원도,신리초등학교,부설,강원도 평창군 대화면 하송빈1길 23,,,,,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,장평초등학교,노상,강원도 평창군 용평면 갈정지길 35-43,,,,033-332-4303,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,주진초등학교,노상,강원도 평창군 평창읍 서동로 2051-11,,,,,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,진부초등학교,부설,강원도 평창군 진부면 진부새싹길 52,,,,033-339-7792,,,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,,
강원도,평창초등학교,부설,강원도 평창군 평창읍 송학로 71,,,,033-339-5177,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,종일무료개방(공휴일),
강원도,횡계초등학교,노상,강원도 평창군 대관령면 꽃밭양지길 16-3,,,,033-335-5010,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,구송초등학교,노상,강원도 홍천군 홍천로 1105,,,,,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,홍천 반곡초등학교,노상,강원도 홍천군 서면 팔봉산로 639,,,,033-434-1238,,,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,,
강원도,석화초등학교,부설,강원도 홍천군 홍천읍 석화안길1길 12,,,,033-430-8888,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,운동장 개방 불가(인조잔디),
강원도,오안초등학교,노상,강원도 홍천군 홍천읍 오안로 12,,,,033-434-9063,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,주봉초등학교,노상,강원도 홍천군 홍천읍 두루봉1길 16,,,,033-434-3295,,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,
강원도,한서초등학교,노외,강원도 홍천군 밤벌길2번길,,,,033-434-1005,,,6:00,17:00,6:00,17:00,6:00,17:00,6:00,17:00,,
강원도,협신초등학교,노외,강원도 홍천군 남면 시동안로 89,,,,033-432-5052,,,9:00,9:00,9:00,9:00,9:00,9:00,9:00,9:00,24시간 개방,
강원도,화계초등학교,노상,강원도 홍천군 북방면 능평길 10,,,,033-434-2360,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,광덕초등학교,노상,강원도 화천군 사내면 포화로 817,,,,033-441-1835,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,다목초등학교,노상,강원도 화천군 상서면 다파로 9-4,,,,033-441-7086,,,13:00,20:30,13:00,20:30,13:00,20:30,13:00,20:30,,
강원도,봉오초등학교,노상,강원도 화천군 상서면 봉오새싹길 31,,,,,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,용암초등학교,노상,강원도 화천군 하남면 용화산로 1325,,,,033-441-8993,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,원천초등학교,부설,강원도 화천군 하남면 원천새싹길 16,,,,033-441-7413,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,종일개방,
강원도,풍산초등학교,노외,강원도 화천읍 평화로1284,,,,,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,화천초등학교,노상,강원도 화천군 화천읍 화천새싹길 57,,,,,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,창림초등학교,노외,강원도 횡성군 횡성읍 한우로 789,,,,033-343-5601,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,횡성초등학교 주차장,노상,강원도 횡성군 횡성읍 교항북로35,,,,,,,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,,
강원도,동명중학교,노상,강원도 강릉시 보래미하길 79번길 21,,,,033-610-8802,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 개방,
강원도,옥계중학교,부설,강원도 강릉시 옥계면 천남길 38-13,,,,033-534-7614,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,대진중학교,부설,강원도 고성군 현내면 화진포길476,,,,033-680-6613,,,5:00,21:00,5:00,21:00,5:00,21:00,5:00,21:00,,
강원도,묵호중학교,부설,강원도 동해시 향로3길 42,,,,033-530-6888,,,8:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,낮 동안 개방,
강원도,북평중학교,부설,강원도 동해시 용정동 40-7,,,,033-521-1290,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,가곡중고등학교,부설,강원도 삼척시 가곡면 가곡천로 1427,,,,033-570-6922,,,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,,
강원도,삼척여자중학교,노상,강원도 삼척시 당저동 96,,,,033-573-0131,,,8:30,17:00,8:30,17:00,8:30,17:00,8:30,17:00,,
강원도,속초여자중학교,노상,강원도 속초시 번영로 81,,,,033-630-8505,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,양양여자중.고등학교,노상,강원도 양양군 양양읍 서문3길 12,,,,,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,양구여자중학교,노상,강원도 양구군 양구읍 박수근로 327,,,,033-480-1610,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,해안중학교,노상,강원도 양구군 해안면 펀치볼로 1279,,,,,,,,,,,,,,,24:00 통일,
강원도,녹전중학교,노상,강원도 영월군 중동면 중동시장길 3-1,,,,033-378-4005,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,"마차중,고등학교",노상,강원도 영월군,,,,033-372-3971,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24사간개방,
강원도,신천중학교,노상,강원도 영월군 한반도면 안새내길 64,,,,033-372-6006,,,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,,
강원도,쌍룡중학교,노외,강원도 영월군 한반도면 쌍용삼거리길4,,,,,,,8:00,20:00,8:00,20:00,8:00,20:00,8:00,20:00,,
강원도,연당중학교,노외,강원도 영월군 남면 연당로 101-8,,,,,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,옥동중학교,노상,강원도 영월군 김삿갓면 영월동로 1664,,,,033-372-9046,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,남원주중학교,부설,강원도 원주시 시청로 333,,,,033-766-7655,,,8:00,20:00,8:00,20:00,8:00,20:00,8:00,20:00,,
강원도,원주중학교,노상,강원도 원주시 치악로 1724,,,,070-7515-2715,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,치악중학교,노상,강원도 원주시 원문로 137번길 36,,,,,,,6:30,21:30,6:30,21:30,6:30,21:30,,,일요일개방불가,
강원도,평원중학교,노상,강원도 원주시 무실로222,,,,033-732-6223,,,8:30,22:00,8:30,22:00,8:30,22:00,8:30,22:00,"16,17일 무인경비",
강원도,학성중학교,노상,강원도 원주시 동진골2길 24,,,,033-731-1182,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,,
강원도,기린중고등학교(병설),노상,강원도 인제군 기린면 창암길 20,,,,033-4360-0220,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 개방,
강원도,신남중학교,노상,강원도 인제군 남면 신남로 47-35,,,,033-461-6031,,,9:00,17:00,9:00,17:00,9:00,17:00,9:00,17:00,,
강원도,인제중학교,노상,강원도 인제군 인제읍 인제로231번길 12,,,,,,,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,,
강원도,여량중학교,노외,강원도 정선군 여량면 여량7길 42,,,,033-562-4124,,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,
강원도,함백중고등학교,노상,강원도 정선군 신동읍 함백로 376,,,,033-370-0101,,,0:00,24:00,0:00,24:00,0:00,24:00,0:00,24:00,24시간 개방,
