,시도,주차장명,주차장유형,주소,위도,경도,관리기관,전화번호,특이사항,9_22(토),9_23(일),9_24(월),9_25(화),9_26(수)
30,강원도,거성초등학교,부설,강원도 고성군 거진읍 거성길38,38.4525378,128.4573939,거성초등학교,033-682-3570,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
31,강원도,공현진초등학교,노외,강원도 고성군 공현진한옥길49,38.3541323,128.5072514,공현진초등학교,033-632-9460,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
32,강원도,광산초등학교,노상,강원도 고성군 간성읍 진부령로 2427,38.3747403,128.4132498,광산초,033-681-0657,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
33,강원도,아야진초등학교,노상,강원도 고성군 토성면 아야진길15,38.2736199,128.549855,아야진초등학교,"033-631-2753,",,"22,07:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
34,강원도,인흥초등학교,노상,강원도 고성군 토성면 인흥1길 26,38.2369978,128.5508071,인흥초등학교,033-636-5182,,"22,09:00~24:00","23,09:00~24:00","24,09:00~24:00","25,09:00~24:00","26,09:00~24:00"
35,강원도,천진초등학교,노상,강원도 고성군 토성면 천진1길 14,38.2572738,128.5571257,천진초등학교,033-639-0400,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
36,강원도,대진중학교,부설,강원도 고성군 현내면 화진포길476,38.4836728,128.4335091,대진중학교,033-680-6613,,"22,05:00~21:00","23,05:00~21:00","24,05:00~21:00","25,05:00~21:00","26,05:00~21:00"
37,강원도,거진정보공업고등학교,부설,강원도 고성군 거진읍 거탄진로 39-7,38.4408559,128.450281,거진정보공업고등학교,033-680-1704,,"22,09:00~24:00","23,09:00~24:00","24,09:00~24:00","25,09:00~24:00","26,09:00~24:00"
38,강원도,대진고등학교,부설,강원도 고성군 현내면 화진포길476,38.4836728,128.4335091,대진고등학교,033-680-6613,,"22,05:00~21:00","23,05:00~21:00","24,05:00~21:00","25,05:00~21:00","26,05:00~21:00"
39,강원도,고성교육지원청,노상,강원도 고성군 간성읍 간성로80,38.3802837,128.466752,고성교육지원청,033-680-6064,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
40,강원도,고성교육도서관,부설,강원도 고성군 거진읍 거탄진로29번길 7,38.4392611,128.4500889,고성교육도서관,033-682-4886,,"22,18:00~09:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
41,강원도,"동광중,동광산업과학고등학교",노상,강원도 고성군 토성면 백촌리 30-15,38.2920162,128.5307441,동광중.동광산업과학고등학교,033-630-3206,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
42,강원도,남호초등학교,노상,강원도 동해시 평원로 120,37.5341912,129.1129525,남호초등학교,033-530-7800,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
43,강원도,동호초등학교,노상,강원도 동해시 발한로 123,37.5438022,129.100203,동호초등학교,033-530-7408,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
44,강원도,망상초등학교,노외,강원도 동해시 동해대로 6251,37.5311952,129.1068506,망상초등학교,033-530-3520,,"22,14:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
45,강원도,묵호초등학교,노상,강원도 동해시 발한천길30,37.5523423,129.1022231,묵호초등학교,033-539-1522,,"22,09:00~18:00","23,09:00~18:00","24,09:00~18:00","25,09:00~18:00","26,09:00~18:00"
46,강원도,삼화초등학교,노상,강원도 동해시 파수길 38,37.4850957,129.0681281,삼화초등학교,033-530-6973,,"22,09:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
47,강원도,청운초등학교,부설,강원도 동해시 청운로 60,37.4849598,129.104084,청운초등학교,033-820-2007,,"22,09:00~24:00","23,09:00~24:00","24,09:00~24:00","25,09:00~24:00","26,09:00~24:00"
48,강원도,북평중학교,부설,강원도 동해시 용정로 40-7,37.4982172,129.1161153,북평중학교,033-521-1290,,"22,09:00~18:00","23,09:00~18:00","24,09:00~18:00","25,09:00~18:00","26,09:00~18:00"
49,강원도,동해광희중학교,노상,강원도 동해시 청운로 112,37.4902212,129.1031878,동해광희중학교,033-520-0802,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
50,강원도,동해광희고등학교,부설,강원도 동해시 청운로 112,37.4902212,129.1031878,동해광희고등학교,033-520-0704,,"22,09:00~18:00","23,09:00~18:00","24,09:00~18:00","25,09:00~18:00","26,09:00~18:00"
51,강원도,동해교육지원청,노외,강원도 동해시 천곡로 117,37.525347,129.1173101,동해교육지원청,033-530-3064,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
52,강원도,동해교육도서관,노상,강원도 동해시 부곡5길 22,37.5384865,129.109787,동해교육도서관,033-533-4439,,"22,18:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
53,강원도,근덕초등학교,노상,강원도 삼척시 근덕면 삼척로 3653,37.3408159,129.2588691,근덕초등학교,033-572-3007,,"22,09:00~17:00","23,09:00~17:00","24,09:00~17:00","25,09:00~17:00","26,09:00~17:00"
54,강원도,미로초등학교,부설,강원도 삼척시 미로면 미로강변로1길 10-11,37.41506469999999,129.1150214,미로초 행정실,033-570-0811,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
55,강원도,삼척남초등학교,노외,강원도 삼척시 동해대로 3783-22(오분동),37.427704,129.187331,삼척남초등학교,033-572-8765,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
56,강원도,삼척중앙초등학교,노외,강원도 삼척시 새천년도로 630-121,37.4666305,129.1612618,삼척중앙초등학교,033-570-7000,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
57,강원도,삼척초등학교,노상,강원도 삼척시 교동로,37.4490149,129.1697981,삼척초등학교,033-572-8663,,"22,08:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~18:00"
58,강원도,서부초등학교,노외,강원도 삼척시 오십천로 279,37.439716,129.1495014,서부초등학교,033-574-4009,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
59,강원도,소달초등학교,노상,강원도 삼척시 도계읍 소달길 54-30,37.2756391,129.0636922,소달초등학교,033-541-0150,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
60,강원도,오저초등학교,부설,강원도 삼척시 가곡면 가곡천로  1430,37.1450156,129.1495221,오저초등학교,033-573-7048,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
61,강원도,임원초등학교,노상,강원도 삼척시 원덕읍 삼척로 1246,37.2358916,129.3420559,임원초등학교,,,"22,09:00~18:00","23,09:00~18:00","24,09:00~18:00","25,09:00~18:00","26,09:00~18:00"
62,강원도,장원초등학교,노상,강원도 삼척시 도계읍 장원길25,37.2282812,129.0552242,장원초등학교,033-541-4418,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~18:00"
63,강원도,장호초등학교,노상,강원도 삼척시 근덕면 용화안길24,37.2886753,129.30188,장호초등학교,033-572-8704,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
64,강원도,호산초등학교,부설,강원도 삼척시 삼척로 46-12,37.3408159,129.2588691,호산초등학교,033-572-6102,,"22,09:00~17:00","23,09:00~17:00","24,09:00~17:00","25,09:00~17:00","26,09:00~17:00"
65,강원도,도계중학교,부설,강원도 삼척시 도계읍 도계느티로 15,37.23302520000001,129.0482469,도계중학교,033-541-0012,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
66,강원도,미로중학교,노상,강원도 삼척시 강원남부로 3907,37.4103974,129.1038675,미로중학교,033-572-0057,,"22,09:00~24:00","23,09:00~24:00","24,09:00~24:00","25,09:00~24:00","26,09:00~24:00"
67,강원도,삼척여자중학교,노외,강원도 삼척시 당저동 96,37.4450332,129.1599097,삼척여자중학교,033-573-0131,,"22,08:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~18:00"
68,강원도,원덕중학교,노외,강원도 삼척시 원덕읍 삼척로480,37.1787088,129.331564,원덕고등학교,033-571-5212,,"22,08:30~24:00","23,08:30~24:00","24,08:30~24:00","25,08:30~24:00","26,08:30~22:00"
69,강원도,가곡고등학교,노외,강원도 삼척시 가곡면 가곡천로 1427,37.14587770000001,129.2057389,가곡중학교,033-570-6922,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
70,강원도,가곡고등학교,노외,강원도 삼척시 가곡면 가곡천로 1427,37.14587770000001,129.2057389,가곡고등학교,033-570-6922,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
71,강원도,삼척고등학교,부설,강원도 삼척시 사대안길 21,37.4463931,129.1648264,삼척고등학교,033-570-8900,,"22,06:00~24:00","23,06:00~24:00","24,06:00~24:00","25,06:00~24:00","26,06:00~24:00"
72,강원도,삼척마이스터고등학교,노외,강원도 삼척시 근덕면삼척로3700,37.3851269,129.2243965,삼척마이스터고,,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
73,강원도,삼척여자고등학교,노상,강원도 삼척시 남산길 6,37.4373383,129.1654894,삼척여자고등학교,033-570-8700,,"22,09:00~18:00","23,09:00~18:00","24,09:00~18:00","25,09:00~18:00","26,09:00~18:00"
74,강원도,삼척교육문화관,노상,강원도 삼척시 진주로 48-41,37.4451643,129.1648039,삼척교육문화관,033-570-5503,오전 30분간만 폐쇄,"22,08:30~08:00","23,08:30~08:00","24,08:30~08:00","25,08:30~08:00","26,08:30~08:00"
75,강원도,삼척교육지원청,노상,강원도 삼척시 청석로3길 32,37.4499874,129.1769196,삼척교육지원청,033-570-5157,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
76,강원도,교동초등학교,노상,강원도 속초시 만천1길 67,38.2032028,128.5744748,교동초등학교,033-637-7227,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
77,강원도,대포초등학교,노상,강원도 속초시 동해대로 3797,38.174008,128.6031973,대포초등학교,033-635-3840,,"22,12:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~18:00"
78,강원도,설악초등학교,노상,강원도 속초시 청봉로 51,38.1639473,128.5401897,설악초등학교,033-636-7052,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
79,강원도,속초초등학교,노상,강원도 속초시 수복로 117,38.2022805,128.5811902,속초초등학교,033-638-8873,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
80,강원도,영랑초등학교,노상,"강원도 속초시 중앙로 331,",38.2178454,128.5909731,영랑초등학교,033-639-7888,,"22,12:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~18:00"
81,강원도,온정초등학교,노상,강원도 속초시 온천로 107,38.19013229999999,128.5544598,속초양양교육지원청,,,"22,09:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
82,강원도,조양초등학교,노상,강원도 속초시 동해대로 3965,38.188486,128.5980234,조양초등학교,033-636-3380,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
83,강원도,청대초등학교,노상,강원도 속초시 소평로 175,38.19161769999999,128.5767834,청대초등학교,033-639-9007,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
84,강원도,청봉초등학교,부설,강원도 속초시 조양로 118번길 9,38.1881788,128.5869594,청봉초등학교,033-630-7500,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~20:00"
85,강원도,청호초등학교,노상,강원도 속초시 청호로 60,38.1958104,128.5977568,청호초등학교,033-636-8746,,"22,08:00~18:00","23,08:00~18:00","24,08:00~18:00","25,08:00~18:00","26,08:00~18:00"
86,강원도,설악중학교,노상,강원도 속초시 미시령로 3402,38.206459,128.5784842,설악중학교,033-633-4992,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
87,강원도,속초여자중학교,부설,강원도 속초시 번영로 81,38.2068121,128.5846871,속초여자중학교,033-630-8500,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
88,강원도,속초중학교,노상,강원도 속초시 미시령로 3358(교동),38.2041566,128.5743567,속초중학교,033-637-4986,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
89,강원도,속초고등학교,노외,강원도 속초시 사진용촌길42,38.2255661,128.5836962,속초고등학교,033-634-6006,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
90,강원도,속초양양교육지원청,노외,강원도 속초시 미시령로 3336,38.2045141,128.5719914,속초양양교육지원청,033-639-6000,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
91,강원도,도촌초등학교,노상,강원도 양구군 남면 정중앙로 259,38.080729,128.0217535,도촌초등학교,033-482-0803,,"22,09:00~17:00","23,09:00~17:00","24,09:00~17:00","25,09:00~17:00","26,09:00~17:00"
92,강원도,방산초등학교,노상,강원도 양구군 방산면 평화로 5121-7,38.2093072,127.9438285,방산초등학교,033-481-5907,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
93,강원도,양구초등학교,노상,"강원도 양구군,읍 양구새싹로 48",38.10236980000001,127.9910266,양구초,,관리자없음,"22,09:00~09:00","23,09:00~09:00","24,09:00~09:00","25,09:00~09:00","26,09:00~09:00"
94,강원도,임당초등학교,노상,강원도 양구군 동면 금강산로 1673,38.2015606,128.0426322,임당초등학교,033-481-0006,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
95,강원도,양구여자중학교,부설,강원도 양구군 양구읍 박수근로 327,38.1014794,127.9813863,양구여자중학교,033-480-1610,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
96,강원도,해안중학교,노상,강원도 양구군 해안면 펀치볼로1279,38.2837596,128.1360637,해안중학교,033-480-1712,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
97,강원도,양구여자고등학교,부설,강원도 양구군 양구읍 박수근로 327,38.1014794,127.9813863,양구여자고등학교,033-480-1610,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
98,강원도,강현초등학교,노상,강원도 양양군 강현면 진미로12번길 22,38.1496871,128.6039314,강현초등학교,033-670-9007,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
99,강원도,광정초등학교,노상,강원도 양양군 현북면 하조대 1길 38,38.0186345,128.7251573,광정초등학교,,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
100,강원도,상평초등학교,노상,강원도 양양군 서면 물윗구미길 25,38.0734243,128.585869,상평초등학교,033-672-2982,,"22,09:00~18:00","23,09:00~18:00","24,09:00~18:00","25,09:00~18:00","26,09:00~18:00"
101,강원도,상평초공수전분교,노상,강원도 양양군 서면 구룡령로 2855,37.9612452,128.525577,상평초공수전분교,033-673-3368,,"22,09:00~18:00","23,09:00~18:00","24,09:00~18:00","25,09:00~18:00","26,09:00~18:00"
102,강원도,상평초현서분교,노상,강원도 양양군 서면 구룡령로 2155,37.9876916,128.5324002,상평초현서분교,033-673-8764,,"22,09:00~18:00","23,09:00~18:00","24,09:00~18:00","25,09:00~18:00","26,09:00~18:00"
103,강원도,양양초등학교,노상,강원도 양양군 양양읍 군청길 39,38.0772469,128.6220463,양양초등학교,033-671-2834,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
104,강원도,조산초등학교,노상,강원도 양양군 양양읍 동해로 3020,38.0754859,128.6201236,조산초등학교,033-670-9804,,"22,09:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~18:00"
105,강원도,현북초등학교,부설,강원도 양양군 현북면 송이로 222,37.9848155,128.6789487,현북초등학교,033-672-8714,,"22,12:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~17:00"
106,강원도,현성초등학교,노상,강원도 양양군 현북면 어성전로 114,37.9294561,128.6670985,현성초등학교,033-673-8273,주차장 관리자 없음,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
107,강원도,양양고등학교,노상,강원도 양양군 양양읍 복개길 23-12,38.0722603,128.6165027,양양고등학교,,,"22,09:00~17:00","23,09:00~17:00","24,09:00~17:00","25,09:00~17:00","26,09:00~17:00"
108,강원도,강원외국어교육원(부서),부설,강원도 양양군 손양면 선사유적로 840,38.0986811,128.653274,강원외국어교육원,033-670-1505,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
109,강원도,쌍룡초등학교,노외,강원도 영월군 한반도면 무동길 50,37.1777934,128.3194992,쌍룡초등학교,033-372-5030,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
110,강원도,쌍룡초등학교토교분교,노외,강원도 영월군 남면 토교로 301,37.1597965,128.3088028,토교분교,033-374-8183,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
111,강원도,영월초등학교,부설,강원도 영월군 영월읍 하송안길 100,37.1820417,128.4682333,영월초등학교,033-370-300,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
112,강원도,청령포초등학교,노외,강원도 영월군 영월읍 청령포로 191,37.180622,128.4413409,청령포초등학교,033-374-8454,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
113,강원도,연당중학교,노상,강원도 영월군 남면 연당로 101-8,37.1884431,128.4072904,연당중학교,033-372-4006,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
114,강원도,석정여자중학교,부설,강원도 영월군 영월읍 영월로 1914-11,37.1802997,128.4588221,석정여자중학교,,관리자 없음,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
115,강원도,마차고등학교,부설,강원도 영월군 북면 문학로길 25-8,37.2554691,128.4515701,마차고등학교,033-372-3971,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
116,강원도,상동중학교,부설,강원도 영월군 상동읍 태백산로 3147,37.1251008,128.8216292,상동중학교,033-378-2517,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~16:30"
117,강원도,상동중학교,부설,강원도 영월군 상동읍 태백산로 3147,37.1251008,128.8216292,상동중학교,033-378-2517,,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~16:30"
118,강원도,석정여자고등학교,노외,강원도 영월군 영월읍 영월로 1914-11,37.1802997,128.4588221,석정여자고등학교,033-370-4444,,"22,08:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~18:00"
119,강원도,영월교육도서관,부설,강원도 영월군.읍 영월로 1914-7,37.1802997,128.4588221,영월교육도서관,033-373-9315,9.22일 개방안함,"22,00:00~24:00","23,00:00~24:00","24,00:00~24:00","25,00:00~24:00","26,00:00~24:00"
